attempt_identity,replicate_index,run_id,outcome,elapsed_s,reason,manifest_sha256
route-removed-confirm-20260824-r19,18,bv20-e27ec23bac527e02f5ec2224,passed,293.0,,e27ec23bac527e02f5ec2224b33d5d840bcb35a827be5f90a9a3ab38bae684fa
route-removed-confirm-20260824-r20,19,bv20-3fedd8e2db685fbb32cfa9d9,passed,261.9,,3fedd8e2db685fbb32cfa9d93c8f816380129d176b571c9732ff8b9046edee08
route-removed-confirm-20260824-r21,20,bv20-65597eb94a212c534daf2e73,passed,577.0,,65597eb94a212c534daf2e73312e4ae9754fbef39bcfe9da39d2a45e539d8604
route-removed-confirm-20260824-r22,21,bv20-03bc54ba2b22ed100c487d26,passed,370.7,,03bc54ba2b22ed100c487d26bb6f204435804a3fc44666194904448e4a866482
route-removed-confirm-20260824-r23,22,bv20-ce38357501cc2c4cad1471aa,passed,495.9,,ce38357501cc2c4cad1471aaf7c8f78d064434a22960abac2a335e771b91cf03
route-removed-confirm-20260824-r24,23,bv20-8dc95251d4cd191798fbe886,passed,310.0,,8dc95251d4cd191798fbe886b1b8045020f0cc77cbbd35680aa3f33ad6c460d4
route-removed-confirm-20260824-r25,24,bv20-1963fbdea4b110e2cd7ec91e,passed,256.7,,1963fbdea4b110e2cd7ec91e62db683ae7db4d91a762729592d858ea63cdf0ce
route-removed-confirm-20260824-r26,25,bv20-b962700b8cd03ab403c76150,passed,281.4,,b962700b8cd03ab403c76150e673422d67ffaef07ba0b84b34da698d78f6076c
route-removed-confirm-20260824-r27,26,bv20-516333b8b2f91dc151c10e29,passed,299.1,,516333b8b2f91dc151c10e29357f7a1660369c162c5d7b9b21b051311c6dddb8
route-removed-confirm-20260824-r28,27,bv20-b21fa143b7912c3f3b594586,passed,282.8,,b21fa143b7912c3f3b594586082cec969a5cfc538fcdab42e5e5d4f90165a968
route-removed-confirm-20260824-r29,28,bv20-619e60a3068f0099c9cbb349,passed,256.0,,619e60a3068f0099c9cbb349bb60fc9f4e2f6596858c1ee1d9d3d1365194bce8
route-removed-confirm-20260824-r30,29,bv20-36a31eb29f59f544fedf8253,passed,329.1,,36a31eb29f59f544fedf82531f16ecc63fb94c88118f189aef30ff68266d5f71
route-removed-confirm-20260824-r31,30,bv20-2f5df30f529d37fd0fe0cdac,passed,384.4,,2f5df30f529d37fd0fe0cdaca81954740d86b99076cc87514e2bcf11730032b3
route-removed-confirm-20260824-r32,31,bv20-cba43853e8474a769be3cf51,passed,371.2,,cba43853e8474a769be3cf51d5305bf5036b70c0b8b560468dba71bcb8510c79
route-removed-confirm-20260824-r33,32,bv20-4040cdace42901356d26104e,passed,245.0,,4040cdace42901356d26104ebf0934184c6919e8ea96bc600747c1197a6d2180
route-removed-confirm-20260824-r34,33,bv20-814f742d3ee9022f0227e04f,passed,556.8,,814f742d3ee9022f0227e04f7caeb5f8573db79894f509f2af9c5e9637a22256
route-removed-confirm-20260824-r35,34,bv20-ab54e5abfaf964daf95071ce,passed,323.3,,ab54e5abfaf964daf95071ce382766fb58260409e66b8bfe72b7059788f2e6a5
route-removed-confirm-20260824-r36,35,bv20-5e29b5da05263f1b0770d7cd,passed,292.5,,5e29b5da05263f1b0770d7cda5116364ec316709d63a9f6ae8f070a3b7d0786a
route-removed-confirm-20260824-r37,36,bv20-ed452ae072a8dcc41c00d11b,passed,273.4,,ed452ae072a8dcc41c00d11b331bbd88bae1bac2f10e4f535c5932b37aabdc24
route-removed-confirm-20260824-r38,37,bv20-e6c99ad6aa5e2b1d990e0dcc,passed,438.5,,e6c99ad6aa5e2b1d990e0dcceb88cb3e7699e334d296a17f31e1bcf7a575d933
route-removed-confirm-20260824-r39,38,bv20-0741f97dd7cd750f6810aa46,passed,499.2,,0741f97dd7cd750f6810aa464058ae046d9bd64de02f4c7d172d379bda851c62
route-removed-confirm-20260824-r40,39,bv20-2e7a571665935f14def13136,passed,343.0,,2e7a571665935f14def1313681bd88dad25cbdb7d193d7fa536931fd60e759f9
